# BL call targets, sorted by call count
# Total unique targets: 12908

0x00ef2b68 called 10 times
0x00a39c0c called 10 times
0x00a3c70c called 10 times
0x00a5c5a0 called 10 times
0x00a99390 called 10 times
0x00a9cfb0 called 10 times
0x00aa4b94 called 10 times
0x00aa4b74 called 10 times
0x00c36814 called 10 times
0x00f51b00 called 10 times
0x00cb27e0 called 10 times
0x00cc69bc called 10 times
0x00cda118 called 10 times
0x00d81634 called 10 times
0x00d9e1f0 called 10 times
0x00ec1898 called 10 times
0x00edf348 called 10 times
0x00f468f4 called 10 times
0x00465e98 called 9 times
0x00467cfc called 9 times
0x00f17278 called 9 times
0x0046d5cc called 9 times
0x00472f00 called 9 times
0x00473200 called 9 times
0x004674d0 called 9 times
0x004821a4 called 9 times
0x00497ffc called 9 times
0x0049ed14 called 9 times
0x004a9a18 called 9 times
0x004ab6a4 called 9 times
0x004a0578 called 9 times
0x004c025c called 9 times
0x004c5d34 called 9 times
0x004c8b78 called 9 times
0x004c8b08 called 9 times
0x004c8aa8 called 9 times
0x004d46f4 called 9 times
0x004e4a90 called 9 times
0x004ed300 called 9 times
0x004908ac called 9 times
0x00520a98 called 9 times
0x00523774 called 9 times
0x005287b8 called 9 times
0x00eeee20 called 9 times
0x00532b50 called 9 times
0x005324d4 called 9 times
0x00539ae0 called 9 times
0x0053b6e0 called 9 times
0x0054265c called 9 times
0x00546614 called 9 times
0x0055379c called 9 times
0x0055d7e4 called 9 times
0x0055aacc called 9 times
0x00f19a28 called 9 times
0x00564e8c called 9 times
0x00568f58 called 9 times
0x0056aed8 called 9 times
0x00f0e974 called 9 times
0x0057d10c called 9 times
0x00582568 called 9 times
0x0058bfc8 called 9 times
0x0058bb60 called 9 times
0x0096aeb0 called 9 times
0x0090a9b0 called 9 times
0x004ad208 called 9 times
0x008c1ad4 called 9 times
0x005ac784 called 9 times
0x005ac370 called 9 times
0x005afbd4 called 9 times
0x005e4a80 called 9 times
0x0050699c called 9 times
0x006454dc called 9 times
0x0052f780 called 9 times
0x00654e94 called 9 times
0x00656f20 called 9 times
0x00eaa1e8 called 9 times
0x0065d6cc called 9 times
0x0065c69c called 9 times
0x00682e24 called 9 times
0x007dda28 called 9 times
0x007e0134 called 9 times
0x007e4b08 called 9 times
0x007e42cc called 9 times
0x008585f8 called 9 times
0x00858234 called 9 times
0x007fcfb0 called 9 times
0x00816250 called 9 times
0x0081d0e0 called 9 times
0x0081e918 called 9 times
0x008465c8 called 9 times
0x0089991c called 9 times
0x0089e114 called 9 times
